1781309809,2026-06-13 08:16:49,3.722GiB / 23.47GiB|0.24%,200,1312 MiB,1.884
1781309869,2026-06-13 08:17:49,3.754GiB / 23.47GiB|0.33%,200,1312 MiB,4.482
1781309932,2026-06-13 08:18:52,4.421GiB / 23.47GiB|97.09%,200,1312 MiB,4.132
1781309993,2026-06-13 08:19:53,3.757GiB / 23.47GiB|0.47%,200,1312 MiB,.902
1781310053,2026-06-13 08:20:53,3.756GiB / 23.47GiB|0.22%,200,1314 MiB,1.474
1781310113,2026-06-13 08:21:53,3.756GiB / 23.47GiB|0.43%,200,1461 MiB,.976
1781310173,2026-06-13 08:22:53,3.756GiB / 23.47GiB|0.37%,200,1274 MiB,2.916
1781310235,2026-06-13 08:23:55,3.756GiB / 23.47GiB|0.49%,200,1350 MiB,2.715
1781310296,2026-06-13 08:24:56,3.756GiB / 23.47GiB|0.30%,200,1288 MiB,1.105
1781310356,2026-06-13 08:25:56,3.756GiB / 23.47GiB|0.42%,200,1212 MiB,1.059
1781310416,2026-06-13 08:26:56,3.756GiB / 23.47GiB|0.47%,200,1232 MiB,.956
1781310477,2026-06-13 08:27:57,3.756GiB / 23.47GiB|0.23%,200,1231 MiB,1.836
1781310538,2026-06-13 08:28:58,3.756GiB / 23.47GiB|0.35%,200,1253 MiB,3.652
1781310600,2026-06-13 08:30:00,3.756GiB / 23.47GiB|0.32%,200,1259 MiB,2.334
1781310662,2026-06-13 08:31:02,3.756GiB / 23.47GiB|0.23%,200,1257 MiB,1.116
1781310722,2026-06-13 08:32:02,3.751GiB / 23.47GiB|0.31%,200,1258 MiB,1.025
1781310783,2026-06-13 08:33:03,3.75GiB / 23.47GiB|0.29%,200,1284 MiB,-.019
1781310844,2026-06-13 08:34:04,3.748GiB / 23.47GiB|0.30%,200,1286 MiB,1.461
1781310904,2026-06-13 08:35:05,3.746GiB / 23.47GiB|0.36%,200,1286 MiB,1.046
1781310964,2026-06-13 08:36:04,3.746GiB / 23.47GiB|0.35%,200,1286 MiB,1.109
1781311024,2026-06-13 08:37:04,3.747GiB / 23.47GiB|0.23%,200,1286 MiB,2.089
1781311087,2026-06-13 08:38:07,3.748GiB / 23.47GiB|0.39%,200,1286 MiB,.978
1781311146,2026-06-13 08:39:06,3.747GiB / 23.47GiB|0.30%,200,1286 MiB,3.064
1781311208,2026-06-13 08:40:08,3.747GiB / 23.47GiB|0.42%,200,1274 MiB,2.121
1781311270,2026-06-13 08:41:10,3.747GiB / 23.47GiB|0.38%,200,1274 MiB,1.261
1781311330,2026-06-13 08:42:10,3.754GiB / 23.47GiB|0.35%,200,1308 MiB,4.031
1781311392,2026-06-13 08:43:12,3.754GiB / 23.47GiB|0.29%,200,1304 MiB,1.184
1781311453,2026-06-13 08:44:13,3.754GiB / 23.47GiB|0.20%,200,1305 MiB,1.613
1781311513,2026-06-13 08:45:13,3.754GiB / 23.47GiB|0.27%,200,1306 MiB,1.747
1781311577,2026-06-13 08:46:17,3.754GiB / 23.47GiB|0.45%,200,1290 MiB,.992
1781311639,2026-06-13 08:47:19,3.754GiB / 23.47GiB|0.21%,200,1290 MiB,1.951
1781311700,2026-06-13 08:48:20,3.754GiB / 23.47GiB|0.42%,200,1290 MiB,1.144
1781311761,2026-06-13 08:49:21,3.754GiB / 23.47GiB|0.22%,200,1290 MiB,-.612
1781311822,2026-06-13 08:50:22,3.754GiB / 23.47GiB|0.28%,200,1298 MiB,.965
1781311882,2026-06-13 08:51:22,3.754GiB / 23.47GiB|0.37%,200,1298 MiB,2.970
1781311944,2026-06-13 08:52:24,3.754GiB / 23.47GiB|0.33%,200,1327 MiB,2.931
1781312008,2026-06-13 08:53:28,3.754GiB / 23.47GiB|0.29%,200,1327 MiB,1.573
1781312070,2026-06-13 08:54:30,3.753GiB / 23.47GiB|0.31%,200,1300 MiB,1.500
1781312130,2026-06-13 08:55:30,3.753GiB / 23.47GiB|0.23%,200,1300 MiB,2.860
1781312193,2026-06-13 08:56:33,3.752GiB / 23.47GiB|0.22%,200,1300 MiB,1.463
1781312253,2026-06-13 08:57:33,3.755GiB / 23.47GiB|0.42%,200,1300 MiB,1.219
1781312314,2026-06-13 08:58:34,3.755GiB / 23.47GiB|0.35%,200,1300 MiB,.900
1781312374,2026-06-13 08:59:34,3.755GiB / 23.47GiB|0.28%,200,1300 MiB,2.577
1781312436,2026-06-13 09:00:36,3.172GiB / 23.47GiB|93.00%,000,1300 MiB,.004
1781312494,2026-06-13 09:01:34,3.325GiB / 23.47GiB|93.39%,000,1300 MiB,.005
1781312553,2026-06-13 09:02:33,3.804GiB / 23.47GiB|101.25%,000,1280 MiB,.004
1781312611,2026-06-13 09:03:31,3.132GiB / 23.47GiB|154.83%,000,1280 MiB,.004
1781312669,2026-06-13 09:04:29,3.808GiB / 23.47GiB|0.41%,200,1266 MiB,13.983
1781312741,2026-06-13 09:05:41,3.519GiB / 23.47GiB|0.35%,200,1277 MiB,1.025
1781312801,2026-06-13 09:06:41,3.516GiB / 23.47GiB|0.56%,200,1286 MiB,2.591
1781312863,2026-06-13 09:07:43,3.495GiB / 23.47GiB|0.35%,200,1294 MiB,-.269
1781312923,2026-06-13 09:08:43,3.493GiB / 23.47GiB|0.52%,200,1072 MiB,.981
1781312982,2026-06-13 09:09:42,3.493GiB / 23.47GiB|0.57%,200,1074 MiB,32.792
1781313073,2026-06-13 09:11:13,3.493GiB / 23.47GiB|0.31%,200,1085 MiB,.951
1781313132,2026-06-13 09:12:12,3.493GiB / 23.47GiB|0.34%,200,1095 MiB,1.715
1781313193,2026-06-13 09:13:13,3.493GiB / 23.47GiB|0.34%,200,1088 MiB,2.513
1781313253,2026-06-13 09:14:13,3.492GiB / 23.47GiB|0.37%,200,1247 MiB,3.419
1781313315,2026-06-13 09:15:15,3.488GiB / 23.47GiB|0.31%,200,1191 MiB,3.467
1781313379,2026-06-13 09:16:19,3.488GiB / 23.47GiB|0.41%,200,1366 MiB,2.333
1781313439,2026-06-13 09:17:19,3.488GiB / 23.47GiB|0.39%,200,1473 MiB,1.080
1781313499,2026-06-13 09:18:19,3.488GiB / 23.47GiB|0.29%,200,1444 MiB,2.506
1781313559,2026-06-13 09:19:19,3.488GiB / 23.47GiB|0.39%,200,1505 MiB,1.044
1781313619,2026-06-13 09:20:19,3.488GiB / 23.47GiB|0.38%,200,1553 MiB,.962
1781313678,2026-06-13 09:21:18,3.488GiB / 23.47GiB|0.38%,200,1599 MiB,1.132
1781313739,2026-06-13 09:22:19,3.488GiB / 23.47GiB|0.33%,200,1584 MiB,3.865
1781313801,2026-06-13 09:23:21,3.488GiB / 23.47GiB|0.29%,200,1373 MiB,1.638
1781313861,2026-06-13 09:24:21,3.488GiB / 23.47GiB|0.41%,200,1373 MiB,1.029
1781313920,2026-06-13 09:25:20,3.488GiB / 23.47GiB|0.28%,200,1373 MiB,1.000
1781313979,2026-06-13 09:26:19,3.488GiB / 23.47GiB|0.33%,200,1599 MiB,1.088
1781314039,2026-06-13 09:27:19,3.488GiB / 23.47GiB|0.48%,200,1600 MiB,2.027
1781314101,2026-06-13 09:28:21,3.488GiB / 23.47GiB|0.37%,200,1601 MiB,1.032
1781314161,2026-06-13 09:29:21,3.488GiB / 23.47GiB|0.29%,200,1601 MiB,1.032
1781314221,2026-06-13 09:30:21,3.488GiB / 23.47GiB|0.59%,200,1493 MiB,2.440
1781314281,2026-06-13 09:31:21,3.488GiB / 23.47GiB|0.44%,200,1466 MiB,1.047
1781314340,2026-06-13 09:32:20,3.488GiB / 23.47GiB|0.22%,200,1486 MiB,2.443
1781314401,2026-06-13 09:33:21,3.488GiB / 23.47GiB|0.23%,200,1474 MiB,1.034
1781314461,2026-06-13 09:34:21,3.488GiB / 23.47GiB|0.47%,200,1475 MiB,2.153
