序号,供应商,交易内容,"合同金额（万
元）",签订年度,履行情况
序号,供应商,交易内容,"合同金额（万
元）",签订年度,履行情况
1,"北京安恒伟业系
统工程技术有限
公司",高清投影机,690.00,2017 年,履行完毕
2,"西藏知珠信息科
技有限公司","室内小间距LED 大屏、
LED 显示屏管控系统、
配电柜等",501.70,2018 年,正在履行
3,"拉萨飞杨电子科
技有限公司","坐席协作管理主机、光
纤音视频输入卡等",503.31,2018 年,正在履行
