,姓名,,,任职部门及职务,
,姓名,,,任职部门及职务,
程家明,,,董事长、总经理,,
孔繁东,,,副总经理,,
王显利,,,副总经理,,
陈升亮,,,监事会主席、平台研究部负责人,,
周志祥,,,终端产品部负责人,,
