,,,,
,,,,
,公司名称,,武汉启目科技有限公司,
,,,,
公司类型,,,有限责任公司,
"注册地及主要生产经
营地",,,武汉市东湖新技术开发区关山大道1号软件产业三期A3栋8层04号,
法定代表人,,,程家明,
注册资本,,,100万元,
实收资本,,,100万元,
成立日期,,,2016年05月03日,
统一社会信用代码,,,91420100MA4KMH5B0X,
经营范围,,,"计算机软硬件、智能数码产品、通讯设备、音视频编解码设备及计
算机外围电子产品的设计与开发、技术咨询、技术转让、生产、批
发零售及售后服务；计算机网络系统集成、安装、技术咨询、技术
转让；广告设计、制作、代理、发布。（依法须经审批的项目，经
相关部门审批后方可开展经营活动）",
股东情况,,,兴图新科持有100%股权,
"主营业务及其与发行
人主营业务的关系",,,主营业务为微型投影仪的生产及销售，为发行人主营业务组成部分,
