项目,2018 年度,2017 年度,2016 年度
项目,2018 年度,2017 年度,2016 年度
"分配股利或利润或偿付利息所支付的
现金","5,777,733.95","2,053,999.09","8,796,255.53"
支付其他与筹资活动有关的现金,-,"3,550,000.00","10,250,000.00"
筹资活动现金流出小计,"20,777,733.95","41,603,999.09","53,046,255.53"
筹资活动产生的现金流量净额,"-5,777,733.95","23,396,000.91","-3,246,255.53"
"四、汇率变动对现金及现金等价物的
影响",-,-,-
五、现金及现金等价物净增加额,"-15,775,576.42","45,595,512.14","-14,316,193.00"
加：期初现金及现金等价物余额,"54,086,764.32","8,491,252.18","22,807,445.18"
六、期末现金及现金等价物余额,"38,311,187.90","54,086,764.32","8,491,252.18"
