发行股票类型,人民币普通股（A 股）
发行股票类型,人民币普通股（A 股）
发行股数,"发行人本次公开发行的股份数量不低于1,840.00 万股，全部为公
开发行的新股，占发行后总股本的比例不低于25.00%。（本次发
行不涉及现有股东公开发售股份）"
每股面值,1.00 元
每股发行价格,【】
预计发行日期,【】年【】月【】日
拟上市的交易所和板块,上海证券交易所科创板
发行后总股本,"不低于7,360.00 万股"
保荐人（主承销商）,中泰证券股份有限公司
招股说明书签署日期,【】年【】月【】日
