1,"基于云联邦架构的军用视频指
挥平台升级及产业化项目","2019-420118-65-03-02
0551","20194201000100001
228"
1,"基于云联邦架构的军用视频指
挥平台升级及产业化项目","2019-420118-65-03-02
0551","20194201000100001
228"
2,研发中心建设项目,"2019-420118-65-03-02
0550","20194201000100001
229"
3,补充流动资金,-,-
