账龄,"应收账款计提比例
（%）","应收商业承兑汇票计
提比例（%）","其他应收款计提比例
（%）"
账龄,"应收账款计提比例
（%）","应收商业承兑汇票计
提比例（%）","其他应收款计提比例
（%）"
1 年以内（含，下同）,5,5,5
1-2 年,10,10,10
2-3 年,30,30,30
3-4 年,50,50,50
4-5 年,80,80,80
5 年以上,100,100,100
