,,2018.12.31,,,
项目,原值,累计折旧,减值准备,账面价值,折旧年限
房屋建筑物,913.12,372.64,-,540.48,20 年
办公设备,37.77,29.87,-,7.90,3 年
运输设备,239.80,176.86,-,62.94,4-5 年
电子设备,602.13,398.26,-,203.87,5 年
合计,"1,792.82",977.63,-,815.19,
