,,2016.12.31,,,
项目,原值,累计折旧,减值准备,账面价值,折旧年限
房屋建筑物,913.12,285.90,-,627.22,20 年
办公设备,39.09,33.51,-,5.58,3 年
运输设备,180.87,135.10,-,45.77,4-5 年
电子设备,416.43,313.49,-,102.94,5 年
合计,"1,549.51",768.00,-,781.51,
