,姓名,,,职务,,,提名人,,,监事任职期限,
,姓名,,,职务,,,提名人,,,监事任职期限,
陈升亮,,,监事会主席,,,职工代表大会,,,2017.6.21-2020.6.20,,
程解珍,,,监事,,,程家明,,,2017.6.21-2020.6.20,,
任青,,,监事,,,程家明,,,2018.12.12-2020.6.20,,
