,,,,
,,,,
,公司名称,,湖北兴图天建科技有限公司,
,,,,
公司类型,,,有限责任公司,
"注册地及主要生产经
营地",,,湖北省天门市天门经济开发区天仙路4 号,
法定代表人,,,陈爱民,
注册资本,,,"1,000 万元",
实收资本,,,"1,000 万元",
成立日期,,,2017 年12 月01 日,
统一社会信用代码,,,91429006MA4927K93G,
经营范围,,,"计算软件、硬件开发、生产、维修、技术服务及销售；音视频编解
码设备和数据传输设备开发、生产、维修、技术服务及销售；音视
频处理软件和指挥调度系统软件开发、技术服务和销售；计算机网
络及系统集成安装；计算机及外围设备、监控设备销售；可穿戴智
能设备制造及城市运营管理系统开发、销售。（涉及许可经营项目，
应取得相关部门许可后方可经营）",
股东情况,,,兴图新科持有100%股权,
"主营业务及其与发行
人主营业务的关系",,,"主营业务为智能安全帽产品的生产及销售，为发行人主营业务组成
部分",
