,姓名,,,职务,
,姓名,,,职务,
程家明,,,董事长、总经理,,
陈爱民,,,董事、副总经理,,
姚小华,,,董事、副总经理、董事会秘书,,
马超,,,财务总监,,
孔繁东,,,副总经理,,
王显利,,,副总经理,,
