序号,产品名称,立项时间
序号,产品名称,立项时间
1,openVone 视音频融合平台V6.0,2019 年1 月
2,网络化视频指挥系统5.2.0,2019 年1 月
3,综合节点车任务系统,2019 年1 月
4,XTFXS0 编解码阵列,2019 年1 月
