项目,2016.12.31,,,
项目,2016.12.31,,,
在产品,478.49,-,478.49,9.10%
库存商品,"1,581.95",-,"1,581.95",30.07%
发出商品,"2,106.05",-,"2,106.05",40.04%
合计,"5,260.34",-,"5,260.34",100.00%
