"序
号",年份,"采购
类别","采购金额
（万元）","雷众科技采购均
价（元）","机箱类产品
采购均价
（元）","雷众科技机箱采购
均价/机箱类产品采
购均价"
"序
号",年份,"采购
类别","采购金额
（万元）","雷众科技采购均
价（元）","机箱类产品
采购均价
（元）","雷众科技机箱采购
均价/机箱类产品采
购均价"
1,2018,机箱,63.25,"1,686.73","2,386.45",70.68%
2,2017,机箱,21.08,846.67,728.46,116.23%
3,2016,机箱,132.03,658.16,605.16,108.76%
