项目,2018 年度,,2017 年度,,2016 年度,
项目,2018 年度,,2017 年度,,2016 年度,
,金额,占比,金额,占比,金额,占比
主营业务收入,"19,802.48",99.94%,"14,812.72",99.52%,"7,873.63",98.97%
其他业务收入,11.16,0.06%,71.76,0.48%,81.84,1.03%
合计,"19,813.64",100.00%,"14,884.48",100.00%,"7,955.46",100.00%
