项目,2018 年度,2017 年度,2016 年度
项目,2018 年度,2017 年度,2016 年度
现金股利,522.50,-,660.00
股票股利,-,247.50,-
股利分配合计,522.50,247.50,660.00
合并报表归属母公司股东的净利润,"4,396.28","3,222.25",462.68
