,,2016.12.31,,
3-4 年,595.10,297.55,297.55,50.00%
4-5 年,158.39,126.71,31.68,80.00%
5 年以上,518.49,518.49,-,100.00%
合计,"10,727.59","1,620.33","9,107.26",15.10%
