,时间,,,董事会成员情况,
,时间,,,董事会成员情况,
2017 年1 月至2018 年12 月,,,程家明（董事长）、陈爱民、黄敏、姚小华、方梦兰,,
2018 年12 月至2019 年3 月,,,程家明（董事长）、陈爱民、黄敏、姚小华、黄加,,
2019 年3 月至今,,,"程家明（董事长）、陈爱民、姚小华、黄加、崔华强（独立
董事）、王清刚（独立董事）、李云钢（独立董事）",,
