,天建,安全帽,4.2,新型,2027.10.24,
,天建,安全帽,4.2,新型,2027.10.24,
20,"兴图
新科",会议记录装置,"ZL20133000255
4.1","外观
设计","2013.01.06 -
2023.01.05",原始取得
21,"兴图
新科","单兵便携式网络摄
像机（H265）","ZL20153024727
3.1","外观
设计","2015.07.10 -
2025.07.09",原始取得
22,"兴图
新科","二路计算机信号编
码器","ZL20153052266
1.6","外观
设计","2015.12.11 -
2025.12.10",原始取得
23,"兴图
新科",智能安全帽,"ZL20163044008
2.1","外观
设计","2016.08.29 -
2026.08.28",原始取得
24,"兴图
新科","基于电池盒的智能
安全帽","ZL20173048106
5.7","外观
设计","2017.09.30 -
2027.09.29",原始取得
25,"兴图
新科","多功能的智能安全
帽","ZL20173051198
0.6","外观
设计","2017.10.25 -
2027.10.24",原始取得
26,"兴图
新科",音视频编解码设备,ZL4987099,"外观
设计","2018.07.26 -
2028.07.25",原始取得
27,"兴图
新科",手柄控制装置,"ZL20183044837
7.2","外观
设计","2018.08.14 -
2028.08.13",原始取得
28,"兴图
新科",头戴式摄像装置,"ZL20183068158
4.2","外观
设计","2018.11.28-
2028.11.27",原始取得
29,"兴图
新科","带视频编解码功能
功能的摄像机","ZL20183060694
23","外观
设计","2018.10.29-
2028.10.28",原始取得
30,"兴图
天建","基于智能安全帽的
电池盒","ZL20173048106
2.3","外观
设计","2017.09.30 -
2027.09.29",原始取得
31,"兴图
新科",头戴式电池盒,"ZL20183068159
0.8","外观
设计","2018.11.28 -
2028.11.27",原始取得
