2,2002 年,"《中国人民解放
军装备采购条例》",中央军委,"明确了装备采购工作的基本任务，规定了装备采
购工作应当遵循的指导思想和基本原则，规范了
装备采购工作的基本内容、基本程序、基本要求
和基本职责。"
2,2002 年,"《中国人民解放
军装备采购条例》",中央军委,"明确了装备采购工作的基本任务，规定了装备采
购工作应当遵循的指导思想和基本原则，规范了
装备采购工作的基本内容、基本程序、基本要求
和基本职责。"
3,2003 年,"《装备采购方式
与程序管理规定》","中国人民解
放军总装备
部","规范中国人民解放军装备采购方式与程序管理工
作，提高装备采购效益。"
4,2004 年,"《军工产品质量
监督管理暂行规
定》","原国防科工
委","对于军工产品以及为武器装备科研生产提供配套
产品的民用科研生产单位的质量监督做了规定。"
5,2004 年,《国防专利条例》,"国务院、中
央军委","对涉及国防利益以及对国防建设有潜在作用需要
保密的发明专利进行保护，既确保国防秘密又便
利发明的推广应用，促进国防科学技术的发展和
适应国防现代化建设的需求。"
6,2008 年,"《武器装备科研
生产许可管理条
例》","国务院、中
央军委","国家对列入武器装备科研生产许可目录的武器装
备科研生产活动实行许可管理。未取得武器装备
科研生产许可，不得从事许可目录所列的武器装
备科研生产活动。"
7,2009 年,"《中华人民共和
国国防法》",全国人大,"国家促进国防科学技术进步，加强高新技术研究，
发挥高新技术在武器装备发展中的先导作用，増
加技术储备，研制新型武器装备。"
8,2009 年,"《武器装备科研
生产单位保密资
格审查认证管理
办法》","国家保密
局、国防科
工局、总装
备部","对承担涉密武器装备科研生产任务的企事业单
位，实行保密资格审查认证制度。承担涉密武器
装备科研生产任务，应当取得相应保密资格。"
9,2010 年,"《武器装备科研
生产许可实施办
法》","工信部、总
装备部","对武器装备科研生产许可管理的全过程包括准
入、监管、处罚和退出等方面作出了规范化、程
序化的规定。"
10,2010 年,"《中华人民共和
国保密法》",全国人大,对涉及军工企业的保密义务作出了框架性规范。
11,2010 年,"《武器装备质量
管理条例》",中央军委,"武器装备论证、研制、生产、试验和维修应当执
行军用标准以及其他满足武器装备质量要求的国
家标准、行业标准和企业标准；鼓励采用适用的
国际标准和国外先进标准。"
12,2010 年,"《中华人民共和
国保守国家秘密
法》","第十一届全
国人民代表
大会常务委
员会","为了保守国家秘密，维护国家安全和利益，保障
改革开放和社会主义建设事业的顺利进行。"
13,2012 年,"《国防科工局总
装备部关于鼓励
和引导民间资本
进入国防科技工
业领域的实施意","国防科工
局、总装备
部","大力推行竞争性装备采购，吸纳符合条件的民营
企业承担武器装备科研生产任务。民营企业可以
通过与军工单位合作承担武器装备科研生产任
务，也可以独立承担武器装备科研生产任务。"
