姓名,职务,兼职企业/单位,,在兼职企业/单位所,,,兼职单位与公司的关,
姓名,职务,兼职企业/单位,,在兼职企业/单位所,,,兼职单位与公司的关,
,,,,任职务,,,系,
程家明,董事长、总经理,兴图投资,执行董事,,,员工持股平台,,
,,武汉启目,执行董事、总经理,,,发行人全资子公司,,
,,北京启目,执行董事、总经理,,,"发行人二级全资子公
司",,
,,武汉智慧易视,执行董事,,,"同受实际控制人程家
明控制的企业",,
,,北京智慧易视,执行董事,,,"同受实际控制人程家
明控制的企业",,
陈爱民,董事、副总经理,华创兴图,执行董事、总经理,,,发行人全资子公司,,
,,兴图天建,执行董事、总经理,,,发行人全资子公司,,
姚小华,"董事、董事会秘
书、副总经理",兴图投资,监事,,,员工持股平台,,
,,华创兴图,监事,,,发行人全资子公司,,
,,武汉启目,监事,,,发行人全资子公司,,
,,北京启目,监事,,,"发行人二级全资子公
司",,
,,食指动,监事,,,程家明报告期内控股,,
