,,,"监狱安防集成应
急指挥系统
多媒体协同交互
系统","XT2004 应急可视指挥调度系统V1.0
大型网络监控中心系统管理软件V10.0
XT6800 视频交换系统V10.02
XT6580 主控席位软件V10.02
XT6900 中心管理服务系统V10.02
XT6400 存储服务管理系统V10.02
XT8000 指挥调度系统V9.0
OpenVone 安防软件开发引擎系统V1.0
OpenVone 音视频中间件软件V1.0",
,,,"监狱安防集成应
急指挥系统
多媒体协同交互
系统","XT2004 应急可视指挥调度系统V1.0
大型网络监控中心系统管理软件V10.0
XT6800 视频交换系统V10.02
XT6580 主控席位软件V10.02
XT6900 中心管理服务系统V10.02
XT6400 存储服务管理系统V10.02
XT8000 指挥调度系统V9.0
OpenVone 安防软件开发引擎系统V1.0
OpenVone 音视频中间件软件V1.0",
2,"复杂环境网
络适应技术","自主
创新","网络化视频指挥
系统
视频点播系统
监狱安防集成应
急指挥系统
多媒体协同交互
系统","一种实现流量控制的丢包重传方法
XT5800S 流媒体转发服务软件V4.25","程家明
孔繁东
王显利
陈升亮
周志祥"
3,"超低延时编
解码技术","自主
创新",显控系统,"一种通过虚拟大屏方式快速显示视频在
大屏的方法
一种不同大厅大屏业务操作同步显示的
方法
兴图新科指挥大厅智能导播系统V1.0","程家明
孔繁东
王显利
陈升亮
周志祥"
4,"基于内容的
视频提取分
析技术","自主
创新","网络化视频指挥
系统
视频点播系统",智能视频分析软件V1.0,"程家明
孔繁东
王显利
陈升亮"
