"序
号","公司名
称","程家明持股比
例",经营范围,主营业务概况
"序
号","公司名
称","程家明持股比
例",经营范围,主营业务概况
1,"武汉智
慧易视",84.00%,"开发、生产计算机软件；提供互联网、
电子商务系统的信息技术服务，技术开
发，技术支持，技术咨询；销售自产产
品。（依法须经批准的项目，经相关部
门批准后方可开展经营活动）","移动互联招聘软
件开发"
2,"北京智
慧易视","程家明通过武
汉智慧易视持
股100.00%","技术开发、技术服务、技术咨询；软件
开发；计算机系统服务；销售电子产品。
（企业依法自主选择经营项目，开展经
营活动；依法须经批准的项目，经相关
部门批准后依批准的内容开展经营活
动；不得从事本市产业政策禁止和限制
类项目的经营活动。）","武汉智慧易
视销售子公司，支
持武汉智慧易视
销售"
3,"亲情互
联",55.00%,"计算机软硬件、数码产品、通讯器材（专
营除外）的研发及生产；互联网信息技
术服务、技术开发、技术支持、技术咨
询；电子商务信息咨询；自行开发产品
的销售及售后服务。（依法须经批准的
项目，经相关部门批准后方可开展经营
活动）","养老应用类软硬
件开发"
4,"耆爱之
家","程家明通过亲
情 互 联 持 股
51.00%","老年人养护服务、房屋建筑业、水电工
程、室内装饰设计服务、电气安装、餐
饮服务、食品经营（涉及许可项目应取",线下养老类服务
