,时间,,,高级管理人员情况,
,时间,,,高级管理人员情况,
2017 年1 月至2019 年3 月,,,"程家明（总经理）、陈爱民、姚小华、孔繁东、邹村、王显利、
欧阳泉、黄敏",,
2019 年3 月至今,,,程家明（总经理）、陈爱民、姚小华、孔繁东、王显利、马超,,
