,时间,,,监事会成员情况,
,时间,,,监事会成员情况,
2017 年1 月至2018 年12 月,,,陈升亮（监事会主席）、程解珍、雷娟,,
2018 年12 月至今,,,陈升亮（监事会主席）、程解珍、任青,,
