项目,2018 年度,,2017 年度,,2016 年度,
项目,2018 年度,,2017 年度,,2016 年度,
职工薪酬,"1,906.98",66.65%,"1,721.48",67.30%,"1,599.29",70.44%
交通及差旅费,321.48,11.24%,295.83,11.57%,219.46,9.67%
办公及业务招待费,218.28,7.63%,252.46,9.87%,143.18,6.31%
售后服务费,133.69,4.67%,82.62,3.23%,7.38,0.33%
租赁费,110.98,3.88%,97.49,3.81%,143.19,6.31%
广告宣传费,131.44,4.59%,55.96,2.19%,124.88,5.50%
其他,38.52,1.35%,51.92,2.03%,33.11,1.46%
合计,"2,861.37",100.00%,"2,557.76",100.00%,"2,270.50",100.00%
