序号,核心技术,"取得
方式",应用产品和领域,成果情况,"主要参与
人员"
序号,核心技术,"取得
方式",应用产品和领域,成果情况,"主要参与
人员"
1,"高可靠、高并
发、大容量的
视音频中间
件技术","自主
创新","网络化视频指挥
系统
显控系统
视频点播系统","一种网络视频监控装置及方法
一种视频同步回放装置及方法
一种车载网络化视频指挥系统及方法
一种车载视频指挥平台","程家明
孔繁东
王显利
陈升亮"
