,,2016.12.31,,
账龄,账面原值,坏账准备,账面价值,坏账计提比例
1 年以内,"6,124.91",306.25,"5,818.66",5.00%
1-2 年,"3,139.41",313.94,"2,825.47",10.00%
2-3 年,191.30,57.39,133.91,30.00%
