,2017 年,"5,910","1,001.73",592.02
,2017 年,"5,910","1,001.73",592.02
,2016 年,"12,276",860.89,"1,056.83"
计算机设备,2018 年,"1,180","5,987.15",706.48
,2017 年,887,"10,922.54",968.83
,2016 年,426,"7,712.48",328.55
