"序
号",借款人,贷款人,"金额
（万元）",利率,借款期限
"序
号",借款人,贷款人,"金额
（万元）",利率,借款期限
1,"武汉兴图新科电子
股份有限公司","汉口银行科技金
融服务中心",500.00,6.09%,2018.8.2-2019.8.2
2,"武汉兴图新科电子
股份有限公司","汉口银行科技金
融服务中心","2,000.00",6.09%,2018.12.3-2019.12.3
