项目,2018.12.31,,2017.12.31,,2016.12.31,
项目,2018.12.31,,2017.12.31,,2016.12.31,
长期待摊费用,59.02,4.13%,5.69,0.54%,12.37,1.14%
递延所得税资产,492.27,34.42%,303.89,28.58%,238.38,22.03%
其他非流动资产,30.35,2.12%,-,0.00%,-,0.00%
非流动资产合计,"1,430.06",100.00%,"1,063.35",100.00%,"1,082.02",100.00%
