序号,客户名称,交易内容,"合同金额
（万元）",签订年度,履行情况
序号,客户名称,交易内容,"合同金额
（万元）",签订年度,履行情况
7,"山东神沃信息科技
有限公司",网络化视频指挥系统,"1,483.63",2018 年,履行完毕
8,"北京圣非凡电子系
统技术开发有限公
司",网络化视频指挥系统,"1,474.62",2019 年,正在履行
