,,见》,,
,,见》,,
14,2013 年,"《中国人民解放
军装备管理条例》",中央军委,"明确了装备管理内涵，充实了装备管理职责和工
作制度，完善了装备战备、训练和信息管理要求。"
15,2013 年,"《产业结构调整
指导目录（2011
年本）》",国家发改委,"“机载设备、任务设备、空管设备和地面保障设备
系统开发制造”、“航空、航天技术应用及系统软
硬件产品、终端产品开发生产，集成电路设计”、
“多普勒雷达技术及设备制造”为国家鼓励发展的
产业。"
16,2014 年,"《中华人民共和
国保守国家秘密
法实施条例》",国务院,"规定从事武器装备科研生产等涉及国家秘密的业
务的企事业单位，应当由保密行政管理部门或者
保密行政管理部门会同有关部门进行保密审查。"
17,2014 年,"《关于加快吸纳
优势民营企业进
入武器装备科研
生产和维修领域
的措施意见》","总装备部、
国防科工
局、国家保
密局","根据党的十八届三中全会要求，引导优势民营企
业进入军品科研生产和维修领域，对现行的准入
管理制度进行调整，建立准入协调机制，降低进
入“门槛”提高武器装备建设资源配置效率和公平
性，建立分类审查制度等。"
18,2014 年,"《关于进一步加
强军队信息安全
工作的意见》",中央军委,"提出要全面推开信息安全等级保护和风险评估，
规范信息安全建设和管理；强力推进国产自主化
建设应用，夯实信息安全根基；严格实施信息安
全综合管控，确保重要人员、核心数据和关键设
备安全。"
19,2015 年,"《中国人民解放
军装备承制单位
资格审查管理规
定》","中国人民解
放军总装备
部","中国人民解放军组织实施装备承制单位资格审查
工作的基本依据。"
20,2015 年,"《中华人民共和
国国家安全法》",全国人大,"对维护国家安全的任务与职责，国家安全制度，
国家安全保障，公民、组织的义务和权利等方面
进行了规定。"
21,2016 年,"《涉军企事业单
位改制重组上市
及上市后资本运
作军工事项审查
工作管理暂行办
法》",国防科工局,"涉军企事业单位改制、重组、上市及上市后资本
运作过程中涉及军品科研生产能力结构布局、军
品科研生产任务和能力建设项目、军工关键设备
设施管理、武器装备科研生产许可条件、国防知
识产权、安全保密等事项的管理办法，以保证军
工能力安全、完整、有效和国家秘密安全。"
22,2016 年,"《军队建设发展
“十三五”规划纲
要》",中央军委,"提出未来五年国防信息化中军事通信、电子对抗、
指挥控制、安全加密等成为重点建设领域。构建
能够打赢信息化战争、有效履行使命任务的中国
特色现代军事力量体系。"
