姓名,被投资企业名称,持股比例,,在发行人处任职部,
姓名,被投资企业名称,持股比例,,在发行人处任职部,
,,,,门及职务,
程家明,武汉智慧易视,84.00%,董事长、总经理,,
,北京智慧易视,"通过武汉智慧易视持股
100.00%",,,
,亲情互联,55.00%,,,
,耆爱之家,通过亲情互联持股51.00%,,,
,兴图投资,55.85%,,,
陈爱民,兴图投资,14.29%,董事、副总经理,,
姚小华,兴图投资,3.57%,"董事、董事会秘书、
副总经理",,
黄加,倍杰特集团股份有限公司,0.16%,董事,,
孔繁东,兴图投资,3.18%,副总经理,,
王显利,兴图投资,1.09%,副总经理,,
马超,兴图投资,1.88%,财务总监,,
陈升亮,兴图投资,1.71%,"监事会主席、平台
研究部负责人",,
程解珍,兴图投资,0.71%,总经理助理,,
任青,兴图投资,0.09%,保密办主任,,
周志祥,兴图投资,0.28%,终端产品部负责人,,
