,专业构成,,,员工人数,,,占员工总数比例,
,专业构成,,,员工人数,,,占员工总数比例,
行政管理人员,,,79,,,18.24%,,
研发人员,,,200,,,46.19%,,
销售及技术支持人员,,,147,,,33.95%,,
生产人员,,,7,,,1.62%,,
合计,,,433,,,100.00%,,
