"金额
年度","100-200
万元","200-500
万元","500-1000
万元","1000-2000
万元","2000-3000
万元","3000
万元以上"
"金额
年度","100-200
万元","200-500
万元","500-1000
万元","1000-2000
万元","2000-3000
万元","3000
万元以上"
2018,12,12,5,1,1,2
