0.21422  	0.31653  	0.56075  	0.11379  	0.07594  	-0.1152  	-0.1455  	0.22633  	0.41864  	-0.5103  	0.12649  	0.65105  	-0.3590  	-0.5047  	-0.5955  	0.18971  	0.43410  	0.26770  	0.19973  	-0.2072  	0.18197  	0.02558  	0.55885  	0.25832  	-0.1562  	0.01498  	0.18814  	-1.0544  	-0.6456  	-0.4853  	-0.1304  	-0.0385  	0.36907  	-0.1315  	0.09864  	-0.1144  	0.67471  	0.29384  	-0.0545  	0.02134  	0.37331  	0.05160  	0.33933  	0.04551  	-0.1586  	-0.0197  	0.03430  	0.10896  	0.03180  	0.08048  	0.04584  	0.02547  	-0.0166  	0.04122  	0.03146  	-0.0414  	-0.0088  	-0.0269  	-0.0413  	0.01348  	-0.0264  	-0.0480  	0.07671  	0.00459  	-0.0165  	-0.4850  	0.12262  	0.00925  	0.00405  	0.56572  	0.55916  	225.146  	227.030  	
0.22142  	0.31648  	0.56338  	0.12621  	0.10296  	-0.1170  	-0.1391  	0.21361  	0.40971  	-0.5026  	0.11017  	0.63863  	-0.3537  	-0.5068  	-0.6136  	0.18904  	0.43027  	0.28124  	0.19974  	-0.1860  	0.15589  	0.02502  	0.53638  	0.25374  	-0.1429  	0.01640  	0.18370  	-1.0328  	-0.6140  	-0.4843  	-0.1357  	-0.0436  	0.37541  	-0.1323  	0.09529  	-0.0973  	0.65142  	0.28327  	-0.0436  	0.02608  	0.36976  	0.05152  	0.33991  	0.04348  	-0.1579  	-0.0191  	0.03572  	0.11136  	0.03431  	0.08112  	0.04987  	0.02460  	-0.0171  	0.03892  	0.03255  	-0.0424  	-0.0069  	-0.0274  	-0.0413  	0.01225  	-0.0281  	-0.0497  	0.07889  	0.00301  	-0.0165  	-0.4850  	0.12262  	0.00925  	0.00405  	0.56572  	0.55916  	225.146  	227.030  	
0.13007  	0.28991  	0.51043  	0.13548  	0.14308  	-0.1331  	-0.1331  	0.19796  	0.40411  	-0.4187  	0.03458  	0.67333  	-0.3106  	-0.5292  	-0.6910  	0.16429  	0.41742  	0.35216  	0.20139  	-0.1006  	-0.0052  	-0.0077  	0.45870  	0.14476  	-0.1266  	0.04297  	0.05457  	-0.8665  	-0.4325  	-0.4643  	-0.1232  	-0.0797  	0.39513  	-0.1279  	-0.0073  	-0.0445  	0.49574  	0.23941  	0.03295  	0.06865  	0.42406  	0.04272  	0.36602  	0.04707  	-0.1507  	-0.0173  	0.03940  	0.12330  	0.03525  	0.08149  	0.06003  	0.02197  	-0.0185  	0.03395  	0.03879  	-0.0469  	-0.0083  	-0.0319  	-0.0364  	0.00860  	-0.0257  	-0.0592  	0.08128  	0.00036  	-0.0165  	-0.4850  	0.12262  	0.00925  	0.00405  	0.56572  	0.55916  	225.146  	227.030  	
0.01271  	0.19294  	0.37640  	0.02187  	0.12746  	-0.3565  	-0.0779  	0.00741  	0.33700  	-0.3458  	-0.0137  	0.57980  	-0.3390  	-0.6817  	-0.8568  	0.08762  	0.42348  	0.44971  	0.18599  	0.00365  	-0.1944  	-0.0774  	0.33270  	0.12398  	-0.0050  	0.03646  	-0.0255  	-0.7196  	-0.3122  	-0.4611  	-0.1358  	-0.1009  	0.34962  	-0.1263  	-0.0614  	0.04796  	0.40746  	0.20207  	0.05446  	0.10683  	0.45121  	0.06789  	0.36320  	0.03685  	-0.1418  	-0.0152  	0.03673  	0.12396  	0.03266  	0.07852  	0.06498  	0.02232  	-0.0226  	0.02673  	0.03672  	-0.0485  	0.00335  	-0.0323  	-0.0358  	0.00990  	-0.0316  	-0.0639  	0.07318  	0.00619  	-0.0165  	-0.4850  	0.12262  	0.00925  	0.00405  	0.56572  	0.55916  	225.146  	227.030  	
-0.2882  	0.13780  	0.26121  	-0.2040  	0.06018  	-0.4608  	-0.1477  	-0.0415  	0.30284  	-0.3241  	0.08615  	0.55055  	-0.4386  	-0.8407  	-1.0379  	0.04716  	0.40176  	0.41845  	0.22922  	-0.0191  	-0.2079  	-0.0414  	0.41288  	0.11930  	-0.0610  	0.03820  	-0.0045  	-0.7315  	-0.3085  	-0.4768  	-0.1197  	-0.0902  	0.30991  	-0.1276  	-0.1139  	0.09727  	0.41990  	0.21382  	0.03781  	0.11575  	0.48245  	0.03074  	0.33964  	0.06656  	-0.1493  	-0.0212  	0.03896  	0.11352  	0.02432  	0.07678  	0.05658  	0.02283  	-0.0234  	0.03233  	0.03423  	-0.0600  	-0.0006  	-0.0263  	-0.0334  	0.00654  	-0.0326  	-0.0596  	0.07936  	0.00159  	-0.0165  	-0.4850  	0.12262  	0.00925  	0.00405  	0.56572  	0.55916  	225.146  	227.030  	
-0.5364  	0.04817  	0.11493  	-0.3098  	0.01562  	-0.5991  	-0.1168  	-0.1271  	0.23045  	-0.2562  	0.13078  	0.52584  	-0.4487  	-0.9204  	-1.0821  	-0.0351  	0.39207  	0.44444  	0.21190  	-0.0379  	-0.2774  	-0.0020  	0.38827  	0.10533  	-0.0177  	0.04109  	-0.0049  	-0.6750  	-0.2501  	-0.4551  	-0.1105  	-0.1168  	0.31811  	-0.1144  	-0.1540  	0.12703  	0.34642  	0.17406  	0.06103  	0.12072  	0.45712  	0.06216  	0.33036  	0.05565  	-0.1365  	-0.0210  	0.03205  	0.10540  	0.03498  	0.07144  	0.06859  	0.02255  	-0.0279  	0.02947  	0.03859  	-0.0595  	0.00949  	-0.0219  	-0.0332  	0.00708  	-0.0294  	-0.0639  	0.07954  	0.00611  	-0.0165  	-0.4850  	0.12262  	0.00925  	0.00405  	0.56572  	0.55916  	225.146  	227.030  	
-0.7197  	0.02966  	0.04772  	-0.4466  	-0.0014  	-0.7530  	-0.1373  	-0.1035  	0.23505  	-0.2052  	0.26184  	0.54757  	-0.4354  	-0.9019  	-1.1880  	-0.0558  	0.36780  	0.43146  	0.20147  	-0.0093  	-0.2951  	0.02086  	0.41842  	0.11919  	-0.0832  	0.06465  	-0.0677  	-0.6540  	-0.2739  	-0.4720  	-0.0964  	-0.1386  	0.31873  	-0.1156  	-0.1495  	0.13533  	0.32776  	0.16865  	0.06985  	0.12876  	0.46783  	0.06803  	0.31685  	0.02711  	-0.1424  	-0.0248  	0.03808  	0.10327  	0.02828  	0.08241  	0.05490  	0.02324  	-0.0200  	0.03319  	0.03496  	-0.0666  	0.00220  	-0.0294  	-0.0318  	0.01457  	-0.0290  	-0.0523  	0.07862  	0.00019  	-0.0165  	-0.4850  	0.12262  	0.00925  	0.00405  	0.56572  	0.55916  	225.146  	227.030  	
-0.6594  	0.05345  	0.06661  	-0.3798  	0.05394  	-0.6846  	-0.1431  	-0.0655  	0.26407  	-0.2304  	0.23915  	0.58296  	-0.4585  	-0.8915  	-1.1520  	-0.0587  	0.40731  	0.41549  	0.19176  	0.00776  	-0.1923  	-0.0201  	0.43579  	0.11791  	-0.1466  	0.06938  	-0.0598  	-0.6698  	-0.3133  	-0.4679  	-0.0846  	-0.1288  	0.32248  	-0.1110  	-0.1434  	0.08164  	0.36126  	0.16603  	0.07181  	0.11204  	0.43902  	0.06610  	0.31612  	0.01941  	-0.1447  	-0.0240  	0.03722  	0.10010  	0.02103  	0.08128  	0.06202  	0.01860  	-0.0235  	0.03819  	0.03367  	-0.0593  	0.00654  	-0.0278  	-0.0358  	0.01572  	-0.0320  	-0.0510  	0.07924  	0.00064  	-0.0165  	-0.4850  	0.12262  	0.00925  	0.00405  	0.56572  	0.55916  	225.146  	227.030  	
-0.6360  	0.11807  	0.12013  	-0.4520  	-0.0083  	-0.6737  	-0.1680  	-0.0082  	0.24791  	-0.2097  	0.26606  	0.55811  	-0.4670  	-0.8456  	-1.1938  	-0.1030  	0.41390  	0.39186  	0.22473  	-0.0490  	-0.1335  	-0.0104  	0.44670  	0.10346  	-0.1315  	0.07065  	-0.0239  	-0.7569  	-0.3099  	-0.4794  	-0.0887  	-0.1420  	0.30391  	-0.1204  	-0.1426  	0.08843  	0.41837  	0.18346  	0.08460  	0.09962  	0.47026  	0.05901  	0.30870  	0.02001  	-0.1519  	-0.0240  	0.03687  	0.09833  	0.02042  	0.07347  	0.05336  	0.01696  	-0.0256  	0.03496  	0.03107  	-0.0594  	0.00594  	-0.0268  	-0.0363  	0.01457  	-0.0300  	-0.0503  	0.07670  	0.00062  	-0.0165  	-0.4850  	0.12262  	0.00925  	0.00405  	0.56572  	0.55916  	225.146  	227.030  	
-0.6248  	0.10669  	0.14398  	-0.5040  	-0.0651  	-0.6842  	-0.1802  	-0.0147  	0.25245  	-0.1711  	0.23259  	0.52006  	-0.4822  	-0.8841  	-1.2490  	-0.1431  	0.39928  	0.39163  	0.23133  	-0.0533  	-0.1458  	-0.0020  	0.48998  	0.10352  	-0.1060  	0.07376  	-0.0084  	-0.7619  	-0.3118  	-0.5053  	-0.0930  	-0.1264  	0.30890  	-0.1267  	-0.1768  	0.08114  	0.40376  	0.19333  	0.09613  	0.10297  	0.47462  	0.05526  	0.31761  	0.04189  	-0.1526  	-0.0296  	0.04105  	0.10543  	0.02257  	0.07594  	0.04641  	0.01665  	-0.0218  	0.03508  	0.03513  	-0.0649  	0.00396  	-0.0253  	-0.0370  	0.01122  	-0.0295  	-0.0564  	0.07615  	0.00619  	-0.0165  	-0.4850  	0.12262  	0.00925  	0.00405  	0.56572  	0.55916  	225.146  	227.030  	
