0.27479  	0.76210  	-0.1032  	-1.7057  	-1.2144  	-1.3121  	0.87607  	0.15952  	0.43686  	0.11296  	-0.0638  	-0.0151  	0.46697  	-0.1353  	-0.4552  	1.63543  	-0.2735  	0.51337  	0.35591  	-0.1230  	-0.1601  	0.40253  	-0.2682  	-0.3130  	0.17835  	-0.2523  	0.08223  	-0.3732  	-0.3191  	0.35904  	0.22232  	0.23193  	-0.0421  	0.00482  	0.33338  	-0.1094  	0.40953  	0.07022  	-0.4325  	0.48282  	0.52597  	-0.0161  	-0.0416  	0.58590  	0.07720  	-0.0828  	-0.0281  	0.13017  	0.10183  	-0.1048  	-0.0206  	-0.0477  	-0.0276  	-0.0087  	-0.0802  	-0.0523  	-0.0645  	-0.0263  	-0.0210  	0.00408  	-0.0157  	-0.0023  	0.00986  	0.02869  	0.15884  	0.17699  	0.05987  	0.00685  	-0.0377  	0.42916  	
0.27615  	0.75881  	-0.1094  	-1.6876  	-1.1807  	-1.3201  	0.88187  	0.14133  	0.42519  	0.12416  	-0.0852  	-0.0266  	0.47292  	-0.1392  	-0.4770  	1.62903  	-0.2757  	0.53452  	0.35572  	-0.0936  	-0.1984  	0.39745  	-0.2963  	-0.3256  	0.19426  	-0.2489  	0.06535  	-0.3346  	-0.2724  	0.35847  	0.21645  	0.22416  	-0.0338  	0.00129  	0.32301  	-0.0892  	0.37487  	0.05455  	-0.4192  	0.48895  	0.52873  	-0.0199  	-0.0388  	0.58344  	0.07958  	-0.0817  	-0.0260  	0.13250  	0.10432  	-0.1024  	-0.0168  	-0.0487  	-0.0288  	-0.0125  	-0.0781  	-0.0545  	-0.0621  	-0.0271  	-0.0207  	0.00228  	-0.0178  	-0.0051  	0.01116  	0.02587  	0.15884  	0.17699  	0.05987  	0.00685  	-0.0377  	0.42916  	
0.20939  	0.73881  	-0.1465  	-1.6677  	-1.1257  	-1.3212  	0.89003  	0.12594  	0.42267  	0.21176  	-0.1834  	0.01267  	0.52144  	-0.1635  	-0.5407  	1.62574  	-0.3006  	0.59767  	0.36009  	-0.0176  	-0.3616  	0.36401  	-0.3777  	-0.4325  	0.21606  	-0.2327  	-0.0627  	-0.1736  	-0.0972  	0.38484  	0.22204  	0.18893  	-0.0172  	0.00727  	0.22988  	-0.0340  	0.22011  	0.01371  	-0.3402  	0.53722  	0.56654  	-0.0211  	-0.0202  	0.58493  	0.08130  	-0.0790  	-0.0259  	0.14406  	0.10499  	-0.1066  	-0.0033  	-0.0515  	-0.0305  	-0.0155  	-0.0746  	-0.0583  	-0.0619  	-0.0304  	-0.0157  	-0.0005  	-0.0171  	-0.0118  	0.01690  	0.02470  	0.15884  	0.17699  	0.05987  	0.00685  	-0.0377  	0.42916  	
0.00982  	0.63248  	-0.3460  	-1.8261  	-1.1548  	-1.5886  	0.91912  	-0.1011  	0.33842  	0.28379  	-0.1416  	-0.0459  	0.47250  	-0.3386  	-0.7334  	1.53724  	-0.2988  	0.70250  	0.32418  	0.05702  	-0.5832  	0.31432  	-0.4535  	-0.4848  	0.28458  	-0.2089  	-0.1857  	0.00982  	0.04481  	0.37847  	0.23867  	0.16085  	-0.0482  	0.01653  	0.15710  	0.06224  	0.10241  	-0.0387  	-0.3105  	0.57806  	0.61017  	-0.0027  	-0.0143  	0.57398  	0.08578  	-0.0784  	-0.0176  	0.14779  	0.10125  	-0.1079  	0.00083  	-0.0488  	-0.0316  	-0.0251  	-0.0775  	-0.0632  	-0.0541  	-0.0291  	-0.0160  	-6.3422  	-0.0190  	-0.0156  	0.01214  	0.03391  	0.15884  	0.17699  	0.05987  	0.00685  	-0.0377  	0.42916  	
-0.2099  	0.57832  	-0.4020  	-2.0023  	-1.2274  	-1.6474  	0.87365  	-0.1105  	0.32137  	0.30240  	-0.1111  	-0.1165  	0.39870  	-0.4732  	-0.8995  	1.48915  	-0.3035  	0.66572  	0.37591  	0.07197  	-0.5609  	0.33212  	-0.4208  	-0.4604  	0.27072  	-0.2209  	-0.1408  	-0.0319  	0.02101  	0.36830  	0.23595  	0.17998  	-0.0955  	0.00737  	0.11223  	0.09482  	0.14177  	-0.0151  	-0.3364  	0.58477  	0.63666  	-0.0445  	-0.0363  	0.60675  	0.08714  	-0.0844  	-0.0225  	0.13269  	0.09629  	-0.1085  	-0.0083  	-0.0507  	-0.0358  	-0.0212  	-0.0790  	-0.0720  	-0.0566  	-0.0258  	-0.0183  	-0.0031  	-0.0224  	-0.0161  	0.01286  	0.02627  	0.15884  	0.17699  	0.05987  	0.00685  	-0.0377  	0.42916  	
-0.4565  	0.51416  	-0.5254  	-2.1154  	-1.2682  	-1.7753  	0.89964  	-0.1758  	0.25955  	0.35935  	-0.0695  	-0.1367  	0.36443  	-0.5621  	-0.9537  	1.43226  	-0.3144  	0.69433  	0.35944  	0.06237  	-0.6284  	0.37082  	-0.4379  	-0.4749  	0.30981  	-0.2239  	-0.1102  	0.03307  	0.08141  	0.39368  	0.24257  	0.15379  	-0.0900  	0.02233  	0.06891  	0.13720  	0.07104  	-0.0538  	-0.3067  	0.58172  	0.62071  	-0.0073  	-0.0480  	0.59852  	0.09062  	-0.0855  	-0.0266  	0.12997  	0.10566  	-0.1139  	0.00413  	-0.0481  	-0.0374  	-0.0202  	-0.0758  	-0.0707  	-0.0473  	-0.0226  	-0.0144  	-0.0029  	-0.0181  	-0.0167  	0.01360  	0.03056  	0.15884  	0.17699  	0.05987  	0.00685  	-0.0377  	0.42916  	
-0.6444  	0.48375  	-0.6181  	-2.2145  	-1.2833  	-1.9390  	0.89553  	-0.1667  	0.26306  	0.39749  	0.04846  	-0.1119  	0.39728  	-0.5214  	-1.0147  	1.38521  	-0.3357  	0.66938  	0.35306  	0.07488  	-0.6340  	0.40761  	-0.4032  	-0.4608  	0.25479  	-0.2022  	-0.1796  	0.03332  	0.07178  	0.37294  	0.24717  	0.12876  	-0.0939  	0.02419  	0.08361  	0.13214  	0.06638  	-0.0512  	-0.2995  	0.58910  	0.61916  	0.00133  	-0.0605  	0.56504  	0.08882  	-0.0861  	-0.0206  	0.12694  	0.10060  	-0.1077  	-0.0092  	-0.0490  	-0.0326  	-0.0150  	-0.0782  	-0.0764  	-0.0523  	-0.0291  	-0.0118  	0.00465  	-0.0188  	-0.0078  	0.01057  	0.02516  	0.15884  	0.17699  	0.05987  	0.00685  	-0.0377  	0.42916  	
-0.5537  	0.51457  	-0.6028  	-2.1520  	-1.2144  	-1.8722  	0.87878  	-0.1289  	0.27962  	0.37979  	0.02942  	-0.0721  	0.37616  	-0.5175  	-0.9821  	1.39508  	-0.3111  	0.67195  	0.34884  	0.10954  	-0.5220  	0.34501  	-0.4100  	-0.4627  	0.19584  	-0.1999  	-0.1578  	0.02083  	0.02056  	0.38527  	0.26216  	0.14096  	-0.0863  	0.02770  	0.11048  	0.08477  	0.10527  	-0.0581  	-0.3023  	0.58152  	0.58438  	-0.0073  	-0.0735  	0.56283  	0.09454  	-0.0859  	-0.0262  	0.11971  	0.09030  	-0.1050  	0.00017  	-0.0544  	-0.0350  	-0.0133  	-0.0786  	-0.0680  	-0.0473  	-0.0269  	-0.0177  	0.00686  	-0.0238  	-0.0068  	0.01065  	0.02654  	0.15884  	0.17699  	0.05987  	0.00685  	-0.0377  	0.42916  	
-0.5430  	0.56084  	-0.5645  	-2.2285  	-1.2720  	-1.8797  	0.85555  	-0.0813  	0.26766  	0.40439  	0.06455  	-0.0975  	0.37433  	-0.4817  	-0.9988  	1.36207  	-0.2946  	0.65505  	0.35871  	0.07448  	-0.4811  	0.36324  	-0.3963  	-0.4611  	0.22629  	-0.2066  	-0.1446  	-0.0331  	0.02879  	0.36589  	0.25705  	0.12852  	-0.0927  	0.01392  	0.10005  	0.09822  	0.14111  	-0.0561  	-0.2949  	0.56931  	0.59986  	-0.0074  	-0.0823  	0.55764  	0.08801  	-0.0819  	-0.0228  	0.11625  	0.09223  	-0.1092  	-0.0056  	-0.0541  	-0.0352  	-0.0172  	-0.0794  	-0.0711  	-0.0470  	-0.0256  	-0.0144  	0.00374  	-0.0217  	-0.0062  	0.00924  	0.02523  	0.15884  	0.17699  	0.05987  	0.00685  	-0.0377  	0.42916  	
-0.4784  	0.54947  	-0.4893  	-2.2593  	-1.3469  	-1.8453  	0.86680  	-0.1026  	0.27437  	0.38134  	-0.0107  	-0.1514  	0.36728  	-0.5090  	-1.0003  	1.34926  	-0.2871  	0.64094  	0.36684  	0.03321  	-0.4863  	0.37478  	-0.3299  	-0.4416  	0.25852  	-0.2128  	-0.0671  	-0.0691  	0.00509  	0.34992  	0.25851  	0.14307  	-0.0961  	0.01343  	0.07584  	0.07671  	0.13887  	-0.0512  	-0.3128  	0.57436  	0.61305  	-0.0117  	-0.0568  	0.59435  	0.10049  	-0.0890  	-0.0208  	0.11919  	0.08653  	-0.1017  	-0.0087  	-0.0543  	-0.0368  	-0.0149  	-0.0773  	-0.0732  	-0.0449  	-0.0255  	-0.0156  	0.00177  	-0.0231  	-0.0074  	0.01400  	0.03130  	0.15884  	0.17699  	0.05987  	0.00685  	-0.0377  	0.42916  	
